City,Doctor,E X A M   T Y P E,Metric Selection - Clinical Products - Prefix,Metric Selection - Clinical Products - Sufix,Performer Type,State,Store,Brand,Company Category,Current Period - Filter,Arrived Date,cities,Last Update,Prescribed and Sold (Units) - MacuHealth,PrescribedMacuHealth,UnitsMacuHealth
Rio de Janeiro,Dra. Júlia Guimarães,Contact Lens Exam,$,,Remote,Rio de Janeiro,48 - Hawthorn,Eye You Care,Corporate,True,3/27/2023 3:19:15 PM,Rio de Janeiro - Rio de Janeiro,"28 March, 2023",0,0,0
Brasília,Dr. Gabriel Costa,Examination,$,,Remote,Distrito Federal,168 - Tornillo,Eye You Care,Corporate,True,3/27/2023 6:11:05 PM,Brasília - Distrito Federal,"28 March, 2023",0,0,0
Londrina,Dr. Michael Araujo,Examination,$,,Remote,Paraná,12 - Slender Pinepink,Eye You Care,Corporate,True,3/26/2023 12:06:27 PM,Londrina - Paraná,"28 March, 2023",0,0,0
Joinville,Dra. Camila Nascimento,Contact Lens Exam,$,,Remote,Santa Catarina,258 - Three Toothed Saxifrage,Eye You Care,Corporate,True,3/27/2023 3:56:07 PM,Joinville - Santa Catarina,"28 March, 2023",0,0,2
Brasília,Dr. Gabriel Costa,Examination Recheck,$,,Remote,Distrito Federal,124 - Sacramento Mountain Thistle,Eye You Care,Corporate,True,3/27/2023 6:04:09 PM,Brasília - Distrito Federal,"28 March, 2023",0,0,2
Joinville,Dra. Camila Nascimento,Examination,$,,Remote,Santa Catarina,258 - Three Toothed Saxifrage,Eye You Care,Corporate,True,3/27/2023 2:41:05 PM,Joinville - Santa Catarina,"28 March, 2023",0,0,0
Rio de Janeiro,Dra. Júlia Guimarães,Contact Lens Exam,$,,Remote,Rio de Janeiro,148 - Fivepetal Cliffbush,Eye You Care,Corporate,True,3/28/2023 1:40:57 PM,Rio de Janeiro - Rio de Janeiro,"28 March, 2023",0,0,1
Fortaleza,Dra. Camila Nascimento,Contact Lens Exam,$,,Remote,Ceará,178 - Kauai Catchfly,Eye You Care,Corporate,True,3/27/2023 4:40:36 PM,Fortaleza - Ceará,"28 March, 2023",0,0,0
Fortaleza,Dra. Beatriz Carvalho,Contact Lens Exam,$,,Onsite,Ceará,91 - Micrandra,Eye You Care,Corporate,True,3/27/2023 2:33:07 PM,Fortaleza - Ceará,"28 March, 2023",0,0,0
Rio de Janeiro,Dra. Júlia Guimarães,Examination,$,,Remote,Rio de Janeiro,48 - Hawthorn,Eye You Care,Corporate,True,3/28/2023 9:58:14 AM,Rio de Janeiro - Rio de Janeiro,"28 March, 2023",0,0,0
Vitória,Dr. Michael Araujo,Contact Lens Exam,$,,Remote,Espírito Santo,176 - Snakewood,Eye You Care,Corporate,True,3/27/2023 6:10:24 PM,Vitória - Espírito Santo,"28 March, 2023",0,0,0
Rio de Janeiro,Dra. Júlia Guimarães,Examination,$,,Remote,Rio de Janeiro,154 - Great Valley Gumweed,Eye You Care,Corporate,True,3/28/2023 1:13:07 PM,Rio de Janeiro - Rio de Janeiro,"28 March, 2023",0,0,0
São José do Rio Preto,Dr. Bruno Rodrigues,Contact Lens Exam,$,,Remote,São Paulo,215 - Goldenrod,Eye You Care,Corporate,True,3/28/2023 5:25:21 PM,São José do Rio Preto - São Paulo,"28 March, 2023",0,0,0
Rio de Janeiro,Dra. Júlia Guimarães,Examination,$,,Remote,Rio de Janeiro,1 - Munz's Hedgehog Cactus,Eye You Care,Corporate,True,3/27/2023 11:50:56 AM,Rio de Janeiro - Rio de Janeiro,"28 March, 2023",0,0,0
Fortaleza,Dra. Camila Nascimento,Examination,$,,Remote,Ceará,218 - Rockcastle Aster,Eye You Care,Corporate,True,3/28/2023 11:36:12 AM,Fortaleza - Ceará,"28 March, 2023",0,0,1
Rio de Janeiro,Dra. Júlia Guimarães,Examination,$,,Remote,Rio de Janeiro,36 - Moco De Pavo,Eye You Care,Corporate,True,3/27/2023 12:56:40 PM,Rio de Janeiro - Rio de Janeiro,"28 March, 2023",0,0,2
Belo Horizonte,Dra. Mariana Gomes,Examination,$,,Onsite,Minas Gerais,189 - Philonotis Moss,Eye You Care,Corporate,True,3/28/2023 2:06:24 PM,Belo Horizonte - Minas Gerais,"28 March, 2023",0,0,1
Recife,Dr. Michael Araujo,Examination,$,,Remote,Pernambuco,62 - Ebony Coccuswood,Eye You Care,Corporate,True,3/28/2023 10:23:10 AM,Recife - Pernambuco,"28 March, 2023",0,0,0
Joinville,Dra. Camila Nascimento,Examination,$,,Remote,Santa Catarina,253 - Sage,Eye You Care,Corporate,True,3/27/2023 6:20:20 PM,Joinville - Santa Catarina,"28 March, 2023",0,0,0
Belo Horizonte,Dra. Fernanda Souza,Examination,$,,Remote,Minas Gerais,25 - Hornbeam,Eye You Care,Corporate,True,3/28/2023 6:25:27 PM,Belo Horizonte - Minas Gerais,"28 March, 2023",0,0,0
Rio de Janeiro,Dra. Ana Beatriz,Office Visit,$,,Onsite,Rio de Janeiro,75 - Smallflower Desert-chicory,Eye You Care,Corporate,True,3/27/2023 5:08:46 PM,Rio de Janeiro - Rio de Janeiro,"28 March, 2023",0,0,1
Vitória,Dr. Michael Araujo,Examination,$,,Remote,Espírito Santo,176 - Snakewood,Eye You Care,Corporate,True,3/27/2023 5:51:00 PM,Vitória - Espírito Santo,"28 March, 2023",0,0,0
Fortaleza,Dra. Camila Nascimento,Contact Lens Exam,$,,Remote,Ceará,17 - Kohlmeyera Lichen,Eye You Care,Corporate,True,3/27/2023 12:35:52 PM,Fortaleza - Ceará,"28 March, 2023",0,0,0
Belo Horizonte,Dra. Mariana Gomes,Examination,$,,Onsite,Minas Gerais,189 - Philonotis Moss,Eye You Care,Corporate,True,3/28/2023 11:01:32 AM,Belo Horizonte - Minas Gerais,"28 March, 2023",0,0,1
Belo Horizonte,Dra. Mariana Gomes,Contact Lens Exam,$,,Onsite,Minas Gerais,189 - Philonotis Moss,Eye You Care,Corporate,True,3/28/2023 11:51:09 AM,Belo Horizonte - Minas Gerais,"28 March, 2023",0,0,0
Fortaleza,Dra. Beatriz Carvalho,Examination,$,,Onsite,Ceará,91 - Micrandra,Eye You Care,Corporate,True,3/28/2023 10:57:16 AM,Fortaleza - Ceará,"28 March, 2023",0,0,0
Fortaleza,Dra. Camila Nascimento,Examination,$,,Remote,Ceará,276 - Sand Buckwheat,Eye You Care,Corporate,True,3/28/2023 2:00:15 PM,Fortaleza - Ceará,"28 March, 2023",0,0,0
Londrina,Dr. Michael Araujo,Contact Lens Exam,$,,Remote,Paraná,12 - Slender Pinepink,Eye You Care,Corporate,True,3/26/2023 2:30:29 PM,Londrina - Paraná,"28 March, 2023",0,0,0
Brasília,Dr. Gabriel Costa,Contact Lens Exam,$,,Remote,Distrito Federal,11 - Hairy Ceanothus,Eye You Care,Corporate,True,3/28/2023 6:50:38 PM,Brasília - Distrito Federal,"28 March, 2023",0,0,2
Salvador,Dr. Marcelo Ferreira,Examination,$,,Remote,Bahia,82 - Nemopanthus,Eye You Care,Corporate,True,3/27/2023 9:08:03 AM,Salvador - Bahia,"28 March, 2023",0,0,0
Rio de Janeiro,Dr. Michael Araujo,Examination,$,,Remote,Rio de Janeiro,154 - Great Valley Gumweed,Eye You Care,Corporate,True,3/27/2023 1:26:58 PM,Rio de Janeiro - Rio de Janeiro,"28 March, 2023",0,0,0
Rio de Janeiro,Dra. Júlia Guimarães,Contact Lens Exam,$,,Remote,Rio de Janeiro,76 - White Leadtree,Optical Care,Corporate,True,3/27/2023 12:54:06 PM,Rio de Janeiro - Rio de Janeiro,"28 March, 2023",0,0,0
Belém,Dr. Marcelo Ferreira,Examination,$,,Remote,Pará,231 - Tropical Whiteweed,Optical Care,Corporate,True,3/28/2023 10:37:09 AM,Belém - Pará,"28 March, 2023",0,0,0
Rio de Janeiro,Dra. Júlia Guimarães,Examination,$,,Remote,Rio de Janeiro,175 - Globe Beaksedge,Optical Care,Corporate,True,3/27/2023 2:51:29 PM,Rio de Janeiro - Rio de Janeiro,"28 March, 2023",0,0,0
Uberaba,Dr. Gustavo Souza,Examination,$,,Remote,Minas Gerais,85 - Menzies' Anacolia Moss,Optical Care,Corporate,True,3/26/2023 3:51:38 PM,Uberaba - Minas Gerais,"28 March, 2023",0,0,0
Joinville,Dra. Andrea Oliveira,Examination,$,,Remote,Santa Catarina,31 - Shrimpplant,Optical Care,Corporate,True,3/28/2023 6:19:49 PM,Joinville - Santa Catarina,"28 March, 2023",0,0,0
Natal,Dra. Júlia Guimarães,Examination,$,,Remote,Rio Grande do Norte,105 - Flaxleaf Whitetop Aster,Optical Care,Corporate,True,3/28/2023 11:20:48 AM,Natal - Rio Grande do Norte,"28 March, 2023",0,0,0
Natal,Dr. Tiago Martins,Examination,$,,Remote,Rio Grande do Norte,97 - Glacial Kiaeria Moss,Optical Care,Corporate,True,3/28/2023 12:48:15 PM,Natal - Rio Grande do Norte,"28 March, 2023",0,0,0
Florianópolis,Dr. Tiago Martins,Examination,$,,Remote,Santa Catarina,71 - Ximenia,Optical Care,Corporate,True,3/27/2023 8:19:06 PM,Florianópolis - Santa Catarina,"28 March, 2023",0,0,0
Florianópolis,Dr. Leandro Menezes,Examination,$,,Remote,Santa Catarina,108 - Dentate False Pennyroyal,Optical Care,Corporate,True,3/27/2023 12:36:35 PM,Florianópolis - Santa Catarina,"28 March, 2023",0,0,0
Joinville,Dr. Leandro Menezes,Examination,$,,Local,Santa Catarina,261 - Toothpickweed,Optical Care,Corporate,True,3/28/2023 2:56:27 PM,Joinville - Santa Catarina,"28 March, 2023",0,0,0
Aracaju,Dra. Camila Nascimento,Examination,$,,Remote,Sergipe,14 - Tassel Grape Hyacinth,Optical Care,Corporate,True,3/28/2023 1:55:21 PM,Aracaju - Sergipe,"28 March, 2023",0,0,0
Juazeiro do Norte,Dr. Bruno Rodrigues,Examination,$,,Remote,Ceará,286 - Pitcherplant,Optical Care,Corporate,True,3/28/2023 4:35:08 PM,Juazeiro do Norte - Ceará,"28 March, 2023",0,0,0
Ribeirão Preto,Dra. Camila Silva,Examination,$,,Remote,São Paulo,78 - Gaudichaud's Syrrhopodon Moss,Optical Care,Corporate,True,3/27/2023 12:36:39 PM,Ribeirão Preto - São Paulo,"28 March, 2023",0,0,0
Natal,Dr. Tiago Martins,Contact Lens Exam,$,,Remote,Rio Grande do Norte,188 - Hoary Brome,Optical Care,Corporate,True,3/26/2023 4:18:53 PM,Natal - Rio Grande do Norte,"28 March, 2023",0,0,0
Goiânia,Dr. Leandro Menezes,Contact Lens Exam,$,,Remote,Goiás,35 - Parmotrema Lichen,Optical Care,Corporate,True,3/27/2023 5:24:51 PM,Goiânia - Goiás,"28 March, 2023",0,0,0
Mossoró,Dr. Marcelo Ferreira,Contact Lens Exam,$,,Remote,Rio Grande do Norte,192 - Large Selenia,Optical Care,Corporate,True,3/28/2023 12:43:00 PM,Mossoró - Rio Grande do Norte,"28 March, 2023",0,0,0
Joinville,Dr. Leandro Menezes,Examination,$,,Remote,Santa Catarina,166 - Knotweed Spineflower,Optical Care,Corporate,True,3/28/2023 5:55:42 PM,Joinville - Santa Catarina,"28 March, 2023",0,0,0
Belém,Dr. Marcelo Ferreira,Contact Lens Exam,$,,Remote,Pará,231 - Tropical Whiteweed,Optical Care,Corporate,True,3/28/2023 11:27:25 AM,Belém - Pará,"28 March, 2023",0,0,0
Uberaba,Dr. Bruno Rodrigues,Contact Lens Exam,$,,Remote,Minas Gerais,85 - Menzies' Anacolia Moss,Optical Care,Corporate,True,3/27/2023 7:00:40 PM,Uberaba - Minas Gerais,"28 March, 2023",0,0,0
Maringá,Dr. Tiago Martins,Contact Lens Exam,$,,Remote,Paraná,216 - Script Lichen,Optical Care,Corporate,True,3/28/2023 5:02:00 PM,Maringá - Paraná,"28 March, 2023",0,0,0
Natal,Dr. Tiago Martins,Contact Lens Exam,$,,Remote,Rio Grande do Norte,68 - Arctoa Moss,Optical Care,Corporate,True,3/27/2023 12:04:41 PM,Natal - Rio Grande do Norte,"28 March, 2023",0,0,0
Porto Velho,Dra. Daniela Ramos,Contact Lens Exam,$,,Remote,Rondônia,181 - Hawai'i Poisonberry Tree,Optical Care,Corporate,True,3/27/2023 11:08:43 AM,Porto Velho - Rondônia,"28 March, 2023",0,0,0
Blumenau,Dra. Andrea Oliveira,Examination,$,,Remote,Santa Catarina,126 - Albany Hawthorn,Optical Care,Corporate,True,3/28/2023 8:52:13 PM,Blumenau - Santa Catarina,"28 March, 2023",0,0,0
Curitiba,Dr. Bruno Rodrigues,Examination,$,,Remote,Paraná,7 - Dactylospora Lichen,Optical Care,Corporate,True,3/28/2023 3:27:02 PM,Curitiba - Paraná,"28 March, 2023",0,0,0
Goiânia,Dr. Gustavo Souza,Examination,$,,Remote,Goiás,119 - Wild Petunia,Optical Care,Corporate,True,3/26/2023 5:59:19 PM,Goiânia - Goiás,"28 March, 2023",0,0,0
Natal,Dr. Tiago Martins,Examination,$,,Remote,Rio Grande do Norte,171 - Eggleaf Spurge,Optical Care,Corporate,True,3/28/2023 1:06:39 PM,Natal - Rio Grande do Norte,"28 March, 2023",0,0,0
Manaus,Dr. Rafael Ribeiro,Examination,$,,Remote,Amazonas,161 - Jelly Lichen,Optical Care,Corporate,True,3/28/2023 9:29:59 PM,Manaus - Amazonas,"28 March, 2023",0,0,0
Maceió,Dr. Michael Araujo,Examination,$,,Remote,Alagoas,211 - Common Hoptree,Optical Care,Corporate,True,3/26/2023 3:10:24 PM,Maceió - Alagoas,"28 March, 2023",0,0,0
Teresina,Dr. Bruno Rodrigues,Examination,$,,Remote,Piauí,133 - Serpentine Sedge,Optical Care,Corporate,True,3/28/2023 3:42:25 PM,Teresina - Piauí,"28 March, 2023",0,0,0
Piracicaba,Dra. Camila Nascimento,Examination,$,,Remote,São Paulo,229 - Icegrass,Optical Care,Corporate,True,3/27/2023 2:16:06 PM,Piracicaba - São Paulo,"28 March, 2023",0,0,0
Maceió,Dr. Michael Araujo,Examination,$,,Remote,Alagoas,211 - Common Hoptree,Optical Care,Corporate,True,3/26/2023 3:43:27 PM,Maceió - Alagoas,"28 March, 2023",0,0,0
Florianópolis,Dr. Leandro Menezes,Examination,$,,Remote,Santa Catarina,172 - Klamath Rushlily,Optical Care,Corporate,True,3/27/2023 7:48:17 PM,Florianópolis - Santa Catarina,"28 March, 2023",0,0,0
Curitiba,Dr. Bruno Rodrigues,Contact Lens Exam,$,,Remote,Paraná,7 - Dactylospora Lichen,Optical Care,Corporate,True,3/28/2023 10:39:43 AM,Curitiba - Paraná,"28 March, 2023",0,0,0
Rio de Janeiro,Dra. Júlia Guimarães,Examination,$,,Remote,Rio de Janeiro,9 - Sedge,Optical Care,Corporate,True,3/28/2023 11:15:22 AM,Rio de Janeiro - Rio de Janeiro,"28 March, 2023",0,0,0
Goiânia,Dr. Gustavo Souza,Contact Lens Exam,$,,Remote,Goiás,119 - Wild Petunia,Optical Care,Corporate,True,3/28/2023 7:21:21 PM,Goiânia - Goiás,"28 March, 2023",0,0,0
Belém,Dr. Marcelo Ferreira,Contact Lens Exam,$,,Remote,Pará,231 - Tropical Whiteweed,Optical Care,Corporate,True,3/28/2023 11:06:09 AM,Belém - Pará,"28 March, 2023",0,0,0
Joinville,Dra. Andrea Oliveira,Contact Lens Exam,$,,Remote,Santa Catarina,31 - Shrimpplant,Optical Care,Corporate,True,3/27/2023 4:52:43 PM,Joinville - Santa Catarina,"28 March, 2023",0,0,0
Teresina,Dr. Gabriel Costa,Contact Lens Recheck,$,,Remote,Piauí,116 - Wiggins' Swallow-wort,Optical Care,Corporate,True,3/27/2023 11:34:14 AM,Teresina - Piauí,"28 March, 2023",0,0,0
Belém,Dra. Camila Silva,Examination,$,,Remote,Pará,163 - California Eryngo,Optical Care,Corporate,True,3/27/2023 7:41:46 PM,Belém - Pará,"28 March, 2023",0,0,0
Fortaleza,Dr. Michael Araujo,Examination,$,,Remote,Ceará,164 - Pebble Pincushion,Optical Care,Corporate,True,3/27/2023 3:22:13 PM,Fortaleza - Ceará,"28 March, 2023",0,0,0
Uberaba,Dr. Tiago Martins,Examination,$,,Remote,Minas Gerais,195 - Seaside Tansy,Optical Care,Corporate,True,3/28/2023 10:54:24 AM,Uberaba - Minas Gerais,"28 March, 2023",0,0,0
Teresina,Dr. Tiago Martins,Contact Lens Exam,$,,Remote,Piauí,133 - Serpentine Sedge,Optical Care,Corporate,True,3/26/2023 3:30:50 PM,Teresina - Piauí,"28 March, 2023",0,0,0
Uberaba,Dr. Bruno Rodrigues,Contact Lens Exam,$,,Remote,Minas Gerais,85 - Menzies' Anacolia Moss,Optical Care,Corporate,True,3/28/2023 12:05:39 PM,Uberaba - Minas Gerais,"28 March, 2023",0,0,0
Maringá,Dr. Tiago Martins,Examination,$,,Remote,Paraná,216 - Script Lichen,Optical Care,Corporate,True,3/27/2023 9:23:31 AM,Maringá - Paraná,"28 March, 2023",0,0,0
Natal,Dr. Michael Araujo,Contact Lens Exam,$,,Remote,Rio Grande do Norte,105 - Flaxleaf Whitetop Aster,Optical Care,Corporate,True,3/27/2023 10:07:52 AM,Natal - Rio Grande do Norte,"28 March, 2023",0,0,0
Mossoró,Dr. Marcelo Ferreira,Contact Lens Exam,$,,Remote,Rio Grande do Norte,192 - Large Selenia,Optical Care,Corporate,True,3/27/2023 4:55:04 PM,Mossoró - Rio Grande do Norte,"28 March, 2023",0,0,0
Joinville,Dra. Andrea Oliveira,Contact Lens Exam,$,,Remote,Santa Catarina,268 - Violetflower Petunia,Optical Care,Corporate,True,3/28/2023 3:49:35 PM,Joinville - Santa Catarina,"28 March, 2023",0,0,0
Ribeirão Preto,Dr. Tiago Martins,Contact Lens Exam,$,,Remote,São Paulo,78 - Gaudichaud's Syrrhopodon Moss,Optical Care,Corporate,True,3/26/2023 1:16:11 PM,Ribeirão Preto - São Paulo,"28 March, 2023",0,0,0
Rio de Janeiro,Dr. Michael Araujo,Examination,$,,Remote,Rio de Janeiro,90 - Sweet Mountain Grape,Optical Care,Corporate,True,3/26/2023 4:17:45 PM,Rio de Janeiro - Rio de Janeiro,"28 March, 2023",0,0,0
Natal,Dr. Tiago Martins,Examination,$,,Remote,Rio Grande do Norte,214 - Thurber's Fescue,Optical Care,Corporate,True,3/28/2023 2:47:18 PM,Natal - Rio Grande do Norte,"28 March, 2023",0,0,0
Belém,Dr. Marcelo Ferreira,Examination,$,,Remote,Pará,231 - Tropical Whiteweed,Optical Care,Corporate,True,3/28/2023 12:48:49 PM,Belém - Pará,"28 March, 2023",0,0,0
Vitória,Dr. Tiago Martins,Contact Lens Exam,$,,Remote,Espírito Santo,238 - Largeleaf Phlox,Optical Care,Corporate,True,3/28/2023 12:57:59 PM,Vitória - Espírito Santo,"28 March, 2023",0,0,0
Curitiba,Dr. Bruno Rodrigues,Examination,$,,Remote,Paraná,7 - Dactylospora Lichen,Optical Care,Corporate,True,3/28/2023 12:21:48 PM,Curitiba - Paraná,"28 March, 2023",0,0,0
Uberaba,Dr. Tiago Martins,Examination,$,,Remote,Minas Gerais,195 - Seaside Tansy,Optical Care,Corporate,True,3/26/2023 2:07:39 PM,Uberaba - Minas Gerais,"28 March, 2023",0,0,0
Florianópolis,Dra. Mariana Pereira,Examination,$,,Onsite,Santa Catarina,117 - Meadow Garlic,Optical Care,Corporate,True,3/27/2023 7:53:36 PM,Florianópolis - Santa Catarina,"28 March, 2023",0,0,0
Londrina,Dr. Lucas Oliveira,Examination,$,,Onsite,Paraná,203 - Sturdy Sedge,Optical Care,Corporate,True,3/28/2023 12:04:15 PM,Londrina - Paraná,"28 March, 2023",0,0,0
Varginha,Dr. Vinicius Guedes,Examination,$,,Onsite,Minas Gerais,151 - Hairy Buttercup,Optical Care,Corporate,True,3/27/2023 1:35:12 PM,Varginha - Minas Gerais,"28 March, 2023",0,0,0
Varginha,Dr. Vinicius Guedes,Examination,$,,Onsite,Minas Gerais,151 - Hairy Buttercup,Optical Care,Corporate,True,3/27/2023 12:24:22 PM,Varginha - Minas Gerais,"28 March, 2023",0,0,0
Varginha,Dr. Vinicius Guedes,Examination,$,,Onsite,Minas Gerais,151 - Hairy Buttercup,Optical Care,Corporate,True,3/27/2023 11:00:30 AM,Varginha - Minas Gerais,"28 March, 2023",0,0,0
Curitiba,Dr. Alexandre Dias,Examination,$,,Onsite,Paraná,7 - Dactylospora Lichen,Optical Care,Corporate,True,3/28/2023 4:17:33 PM,Curitiba - Paraná,"28 March, 2023",0,0,0
Piracicaba,Dra. Ana Carolina,Examination,$,,Onsite,São Paulo,235 - Yam,Optical Care,Corporate,True,3/26/2023 1:20:01 PM,Piracicaba - São Paulo,"28 March, 2023",0,0,0
Joinville,Dra. Luciana Silva,Examination,$,,Onsite,Santa Catarina,166 - Knotweed Spineflower,Optical Care,Corporate,True,3/27/2023 1:34:54 PM,Joinville - Santa Catarina,"28 March, 2023",0,0,0
Piracicaba,Dra. Carla Rodrigues,Examination,$,,Onsite,São Paulo,237 - Tomentypnum Moss,Optical Care,Corporate,True,3/27/2023 9:22:46 AM,Piracicaba - São Paulo,"28 March, 2023",0,0,0
Varginha,Dr. Vinicius Guedes,Examination,$,,Onsite,Minas Gerais,151 - Hairy Buttercup,Optical Care,Corporate,True,3/28/2023 3:04:37 PM,Varginha - Minas Gerais,"28 March, 2023",0,0,0
Joinville,Dra. Luciana Silva,Examination Recheck,$,,Onsite,Santa Catarina,166 - Knotweed Spineflower,Optical Care,Corporate,True,3/27/2023 12:39:37 PM,Joinville - Santa Catarina,"28 March, 2023",0,0,0
Aracaju,Dra. Natália Castro,Examination,$,,Onsite,Sergipe,14 - Tassel Grape Hyacinth,Optical Care,Corporate,True,3/28/2023 9:43:33 AM,Aracaju - Sergipe,"28 March, 2023",0,0,0
Florianópolis,Dra. Mariana Pereira,Examination,$,,Onsite,Santa Catarina,117 - Meadow Garlic,Optical Care,Corporate,True,3/27/2023 6:46:58 PM,Florianópolis - Santa Catarina,"28 March, 2023",0,0,0
Petrópolis,Dr. André Silva,Contact Lens Exam,$,,Onsite,Rio de Janeiro,155 - Schaffner's Grasswort,Optical Care,Corporate,True,3/27/2023 6:42:19 PM,Petrópolis - Rio de Janeiro,"28 March, 2023",0,0,0
Cuiabá,Dr. Bruno Rodrigues,Contact Lens Exam,$,,Remote,Mato Grosso,150 - Sharpleaf Snowberry,Optical Care,Corporate,True,3/28/2023 12:32:47 PM,Cuiabá - Mato Grosso,"28 March, 2023",0,0,0
Joinville,Dr. Tiago Martins,Examination,$,,Remote,Santa Catarina,37 - Round Pepperweed,Optical Care,Corporate,True,3/28/2023 1:11:17 PM,Joinville - Santa Catarina,"28 March, 2023",0,0,1
Joinville,Dr. Marcos Oliveira,Examination,$,,Onsite,Santa Catarina,37 - Round Pepperweed,Optical Care,Corporate,True,3/27/2023 6:09:24 PM,Joinville - Santa Catarina,"28 March, 2023",0,0,1
Cuiabá,Dr. Bruno Rodrigues,Examination,$,,Remote,Mato Grosso,269 - Utah Serviceberry,Optical Care,Corporate,True,3/27/2023 11:14:40 AM,Cuiabá - Mato Grosso,"28 March, 2023",0,0,1
Blumenau,Dr. Vitoria Alves,Examination Recheck,$,,Onsite,Santa Catarina,126 - Albany Hawthorn,Optical Care,Corporate,True,3/27/2023 1:30:34 PM,Blumenau - Santa Catarina,"28 March, 2023",0,0,2
Natal,Dr. Rodrigo Pereira,Contact Lens Recheck,$,,Onsite,Rio Grande do Norte,171 - Eggleaf Spurge,Optical Care,Corporate,True,3/27/2023 3:00:43 PM,Natal - Rio Grande do Norte,"28 March, 2023",0,0,0
Teresina,Dr. Bruno Rodrigues,Contact Lens Exam,$,,Remote,Piauí,133 - Serpentine Sedge,Optical Care,Corporate,True,3/27/2023 4:36:48 PM,Teresina - Piauí,"28 March, 2023",0,0,2
Brasília,Dr. Rafael Ribeiro,Examination,$,,Remote,Distrito Federal,129 - Spreadingpod Rockcress,Eye You Care,Franchise,True,3/27/2023 6:15:55 PM,Brasília - Distrito Federal,"28 March, 2023",0,0,0
Brasília,Dra. Camila Silva,Examination,$,,Remote,Distrito Federal,198 - Skyttella Lichen,Eye You Care,Franchise,True,3/27/2023 11:49:51 AM,Brasília - Distrito Federal,"28 March, 2023",0,0,0
São Paulo,Dr. Marcelo Ferreira,Examination,$,,Remote,São Paulo,21 - Early Buttercup,Eye You Care,Franchise,True,3/28/2023 2:58:39 PM,São Paulo - São Paulo,"28 March, 2023",0,0,0
Bauru,Dr. Bruno Rodrigues,Examination,$,,Remote,São Paulo,54 - Mintleaf Bergamot,Eye You Care,Franchise,True,3/27/2023 5:16:22 PM,Bauru - São Paulo,"28 March, 2023",0,0,0
Natal,Dr. Leandro Menezes,Examination,$,,Remote,Rio Grande do Norte,199 - Rim Lichen,Eye You Care,Franchise,True,3/26/2023 6:54:48 PM,Natal - Rio Grande do Norte,"28 March, 2023",0,0,0
Belo Horizonte,Dra. Fernanda Souza,Examination,$,,Remote,Minas Gerais,93 - Chinese Lilac,Eye You Care,Franchise,True,3/27/2023 6:20:21 PM,Belo Horizonte - Minas Gerais,"28 March, 2023",0,0,0
Brasília,Dr. Gustavo Souza,Examination,$,,Remote,Distrito Federal,138 - Newberry's Tickseed,Eye You Care,Franchise,True,3/28/2023 12:23:15 PM,Brasília - Distrito Federal,"28 March, 2023",0,0,0
Brasília,Dr. Gustavo Souza,Examination,$,,Remote,Distrito Federal,198 - Skyttella Lichen,Eye You Care,Franchise,True,3/26/2023 2:28:28 PM,Brasília - Distrito Federal,"28 March, 2023",0,0,0
Bauru,Dr. Bruno Rodrigues,Examination,$,,Remote,São Paulo,131 - Milo Baker's Cryptantha,Eye You Care,Franchise,True,3/27/2023 1:55:58 PM,Bauru - São Paulo,"28 March, 2023",0,0,0
Brasília,Dr. Gustavo Souza,Examination,$,,Remote,Distrito Federal,114 - Mojave Hole-in-the-sand Plant,Eye You Care,Franchise,True,3/28/2023 5:17:26 PM,Brasília - Distrito Federal,"28 March, 2023",0,0,0
Brasília,Dr. Gustavo Souza,Examination,$,,Remote,Distrito Federal,138 - Newberry's Tickseed,Eye You Care,Franchise,True,3/27/2023 5:27:11 PM,Brasília - Distrito Federal,"28 March, 2023",0,0,0
Bauru,Dr. Bruno Rodrigues,Examination,$,,Remote,São Paulo,273 - Sabinon,Eye You Care,Franchise,True,3/28/2023 4:04:57 PM,Bauru - São Paulo,"28 March, 2023",0,0,0
Natal,Dra. Andrea Oliveira,Examination,$,,Remote,Rio Grande do Norte,89 - Rosette Lichen,Optical Care,Corporate,True,3/28/2023 1:03:19 PM,Natal - Rio Grande do Norte,"28 March, 2023",0,0,0
São José dos Campos,Dr. Marcelo Ferreira,Examination,$,,Remote,São Paulo,186 - Kudzu,Optical Care,Corporate,True,3/27/2023 1:10:48 PM,São José dos Campos - São Paulo,"28 March, 2023",0,0,0
Piracicaba,Dr. Caio Nascimento,Contact Lens Recheck,$,,Onsite,São Paulo,229 - Icegrass,Optical Care,Corporate,True,3/28/2023 9:04:47 AM,Piracicaba - São Paulo,"28 March, 2023",0,0,0
Florianópolis,Dra. Mariana Pereira,Examination,$,,Onsite,Santa Catarina,117 - Meadow Garlic,Optical Care,Corporate,True,3/27/2023 3:21:18 PM,Florianópolis - Santa Catarina,"28 March, 2023",0,0,0
Natal,Dr. Rodrigo Pereira,Examination,$,,Onsite,Rio Grande do Norte,68 - Arctoa Moss,Optical Care,Corporate,True,3/28/2023 12:03:57 PM,Natal - Rio Grande do Norte,"28 March, 2023",0,0,0
Rio de Janeiro,Dra. Júlia Guimarães,Contact Lens Exam,$,,Remote,Rio de Janeiro,90 - Sweet Mountain Grape,Optical Care,Corporate,True,3/28/2023 11:51:34 AM,Rio de Janeiro - Rio de Janeiro,"28 March, 2023",0,0,0
